Burst Name,x_min,y_min,x_max,y_max,num_clusters,has_multiple_clusters
GRB050410,294.00299072265625,57.1462926864624,376.5508499145508,434.67512130737305,4,True
GRB050410,276.7792908639619,66.44123112071644,404.5152624881629,347.0817852598248,4,True
GRB050410,301.33246527777777,77.76099480523004,333.4612291124132,343.32132636176215,4,True
GRB050410,354.671875,122.85416603088379,371.921875,341.60416412353516,4,True
GRB050412,270.71107829700816,67.01506848768754,348.69283918900925,237.8570757779208,3,True
GRB050412,369.5146255493164,161.92766571044922,396.7812194824219,233.7145233154297,3,True
GRB050416A,296.74873383839923,66.79054959615073,333.2061087290446,384.6845175425212,2,False
GRB050416B,309.9594090053013,68.43942358834403,345.43809291294644,373.75482352120537,2,True
GRB050416B,311.06029334435095,59.76386334345891,346.13538771409253,432.1003887469952,2,True
GRB050418,260.47972901662195,66.48899797598517,317.14637247721356,391.29590543111163,2,True
GRB050418,336.32500476371956,224.73089153010667,391.43862170707894,389.3556704637481,2,True
GRB050421,312.1731819619938,75.6293327175841,364.3926005460778,312.292865363919,2,False
GRB050422,326.88315200805664,59.46390676498413,373.6621627807617,426.8822326660156,5,True
GRB050422,275.616219153771,166.14407466008112,319.066163283128,332.02474623460034,5,True
GRB050422,346.18416995093935,67.23364939008438,388.54687064034596,322.4771757579985,5,True
GRB050502B,330.39954475734544,67.12538064044459,378.45714270550275,374.7926967454993,2,True
GRB050502B,293.662804136885,293.8392697598072,323.6272959607713,372.98371270362367,2,True
GRB050505,258.1336679873259,68.76347193510632,328.7300063423489,350.88676319951594,2,True
GRB050505,341.6770635640846,170.62700595495832,369.6894076365345,345.61675104105245,2,True
GRB050507,378.6141128540039,106.2763900756836,423.2905044555664,309.98952865600586,5,True
GRB050507,300.6877088546753,73.73341977596283,354.9748077392578,286.2386293411255,5,True
GRB050507,295.4104522705078,65.40525245666504,376.718994140625,397.05365295410155,5,True
GRB050507,284.97013201032365,66.0580199105399,438.6732177734375,296.1336582728795,5,True
GRB050509A,297.5116231282552,65.77889217800563,357.7021931966146,369.76702558729386,2,True
GRB050509A,293.3202209472656,158.8653678894043,313.1326217651367,319.3506050109863,2,True
GRB050509B,146.68126344680783,80.1830028295517,184.74047565460205,304.19015407562256,2,True
GRB050509B,392.57599487304685,103.70011596679687,472.6577087402344,329.81300354003906,2,True
