,Burst_Name,Burst_PNG,Simple,Extended,Other,Too_Noisy,Count,Simple_Proportion,Extended_Proportion,Other_Proportion,Too_Noisy_Proportion,Follow,95%_Verify,99%_Verify,Prop_Verify
852,GRB141121A,GRB141121A_619182.png,1,0,1,12,14,0.071,0.0,0.071,0.857,"[1, 1, 1, 0, 1, 13]",Too_Noisy,Too_Noisy,Too_Noisy
853,GRB141130A,GRB141130A_620090.png,2,7,19,2,30,0.067,0.233,0.633,0.067,"[8, 9, 25, 0, 0, 2]",Other,None,None
854,GRB141212A,GRB141212A_621229.png,10,0,0,1,11,0.909,0.0,0.0,0.091,"[8, 1, 0, 0, 1, 2]",Simple,Simple,Simple
855,GRB141212B,GRB141212B_621234.png,3,3,13,1,20,0.15,0.15,0.65,0.05,"[10, 1, 13, 0, 0, 1]",Other,Other,None
856,GRB141220A,GRB141220A_621915.png,25,13,14,3,55,0.455,0.236,0.255,0.055,"[20, 18, 25, 0, 4, 7]",None,None,None
857,GRB141221A,GRB141221A_622006.png,1,1,12,2,16,0.062,0.062,0.75,0.125,"[7, 4, 8, 0, 0, 2]",Other,Other,Other
858,GRB141225A,GRB141225A_622476.png,3,16,0,3,22,0.136,0.727,0.0,0.136,"[2, 15, 2, 0, 0, 3]",Extended,Extended,Extended
859,GRB150101A,GRB150101A_623158.png,8,1,15,16,40,0.2,0.025,0.375,0.4,"[8, 0, 0, 0, 13, 31]",Too_Noisy,None,None
860,GRB150103A,GRB150103A_623368.png,7,10,21,8,46,0.152,0.217,0.457,0.174,"[10, 8, 19, 0, 3, 13]",None,None,None
861,GRB150110B,GRB150110B_624606.png,17,5,20,4,46,0.37,0.109,0.435,0.087,"[24, 4, 22, 0, 1, 5]",None,None,None
862,GRB150120A,GRB150120A_627137.png,14,0,0,0,14,1.0,0.0,0.0,0.0,"[9, 3, 0, 0, 2, 2]",Simple,Simple,Simple
