Burst_Name,Burst_PNG,Simple,Extended,Other,Too_Noisy,Follow
GRB060510A,GRB060510A_209351.png,20,6,13,3,"[17, 16, 23, 0, 0, 3]"
GRB060510B,GRB060510B_209352.png,3,9,23,11,"[12, 4, 27, 0, 1, 13]"
GRB060512,GRB060512_209755.png,17,1,5,1,"[18, 1, 7, 0, 1, 2]"
GRB060515,GRB060515_210084.png,7,16,5,12,"[3, 13, 11, 0, 1, 13]"
GRB060516,GRB060516_210254.png,1,3,3,16,"[5, 1, 3, 0, 1, 18]"
GRB060522,GRB060522_211117.png,3,4,12,27,"[5, 0, 11, 0, 1, 30]"
GRB060526,GRB060526_211957.png,2,13,25,8,"[29, 8, 12, 0, 3, 11]"
GRB060602A,GRB060602A_213180.png,8,11,7,17,"[2, 15, 12, 0, 3, 22]"
GRB060604,GRB060604_213486.png,0,3,13,33,"[7, 2, 9, 0, 1, 35]"
GRB060605,GRB060605_213630.png,2,2,14,3,"[7, 7, 6, 0, 2, 5]"
GRB060607A,GRB060607A_213823.png,11,19,12,3,"[10, 34, 17, 0, 0, 3]"
GRB060607B,GRB060607B_213934.png,5,10,19,4,"[6, 22, 18, 0, 2, 6]"
GRB060614,GRB060614_214805.png,3,26,17,3,"[12, 25, 29, 0, 2, 5]"
GRB060707,GRB060707_217704.png,3,5,15,3,"[7, 11, 14, 0, 0, 3]"
GRB060708,GRB060708_217805.png,13,5,1,0,"[2, 17, 0, 0, 0, 0]"
GRB060712,GRB060712_218582.png,4,4,19,14,"[11, 3, 17, 0, 1, 16]"
GRB060714,GRB060714_219101.png,3,15,34,5,"[15, 27, 33, 0, 2, 8]"
GRB060717,GRB060717_219646.png,12,0,1,0,"[12, 1, 0, 0, 0, 0]"
GRB060719,GRB060719_220020.png,1,4,16,1,"[10, 9, 4, 0, 1, 2]"
GRB060729,GRB060729_221755.png,2,7,23,2,"[19, 11, 19, 0, 1, 4]"
GRB060801,GRB060801_222154.png,15,1,0,1,"[10, 6, 0, 0, 1, 2]"
GRB060804,GRB060804_222546.png,4,4,19,0,"[11, 3, 15, 0, 4, 4]"
GRB060805A,GRB060805A_222683.png,13,1,2,2,"[13, 1, 2, 0, 2, 4]"
GRB060807,GRB060807_223217.png,18,9,13,10,"[16, 9, 16, 0, 4, 16]"
GRB060813,GRB060813_224364.png,26,19,2,2,"[22, 19, 8, 0, 2, 4]"
GRB060814,GRB060814_224552.png,1,19,17,2,"[24, 7, 20, 0, 0, 2]"
GRB060825,GRB060825_226382.png,12,1,2,0,"[11, 2, 3, 0, 0, 1]"
GRB060904A,GRB060904A_227996.png,19,4,24,3,"[31, 5, 23, 0, 2, 5]"
GRB060904B,GRB060904B_228006.png,15,26,10,1,"[21, 24, 14, 0, 1, 5]"
GRB060906,GRB060906_228316.png,1,3,11,3,"[5, 4, 13, 0, 0, 3]"
GRB060908,GRB060908_228581.png,1,3,16,2,"[12, 2, 12, 0, 1, 3]"
GRB060912A,GRB060912A_229185.png,18,4,0,1,"[4, 15, 2, 0, 2, 3]"
GRB060919,GRB060919_230115.png,17,14,10,3,"[7, 29, 7, 0, 0, 3]"
GRB060923A,GRB060923A_230662.png,2,3,12,0,"[10, 4, 7, 0, 2, 2]"
GRB060923B,GRB060923B_230702.png,17,2,2,1,"[16, 1, 3, 0, 2, 3]"
GRB060923C,GRB060923C_230711.png,1,4,4,12,"[2, 2, 7, 0, 1, 13]"
GRB060926,GRB060926_231231.png,19,7,2,2,"[4, 23, 1, 0, 1, 3]"
GRB060927,GRB060927_231362.png,0,3,12,0,"[11, 5, 8, 0, 0, 0]"
GRB060929,GRB060929_231702.png,3,3,2,12,"[5, 1, 1, 0, 0, 14]"
GRB061002,GRB061002_231974.png,2,1,18,5,"[5, 2, 19, 0, 1, 6]"
GRB061004,GRB061004_232339.png,13,0,0,0,"[11, 1, 0, 0, 1, 1]"
GRB061006,GRB061006_232585.png,23,25,5,4,"[36, 12, 13, 0, 1, 7]"
GRB061007,GRB061007_232683.png,10,14,21,6,"[20, 9, 21, 0, 4, 10]"
GRB061019,GRB061019_234516.png,2,4,18,3,"[14, 9, 4, 0, 1, 4]"
GRB061021,GRB061021_234905.png,18,21,0,2,"[4, 32, 1, 0, 1, 3]"
GRB061028,GRB061028_235715.png,2,8,12,27,"[4, 1, 16, 0, 0, 27]"
GRB061102,GRB061102_236430.png,2,6,16,37,"[4, 5, 13, 0, 5, 42]"
GRB061110A,GRB061110A_238108.png,22,16,6,5,"[1, 35, 13, 0, 0, 5]"
GRB061110B,GRB061110B_238174.png,6,17,12,20,"[5, 18, 20, 0, 3, 23]"
GRB061121,GRB061121_239899.png,5,4,15,0,"[19, 3, 5, 0, 1, 1]"
GRB061126,GRB061126_240766.png,4,18,14,2,"[18, 6, 23, 0, 0, 2]"
GRB061201,GRB061201_241840.png,16,1,1,0,"[12, 4, 2, 0, 1, 1]"
GRB061202,GRB061202_241963.png,10,17,11,3,"[8, 29, 11, 0, 0, 3]"
GRB061210,GRB061210_243690.png,21,19,0,5,"[30, 3, 9, 0, 2, 7]"
GRB061217,GRB061217_251634.png,23,2,14,12,"[19, 1, 5, 0, 10, 27]"
GRB061222A,GRB061222A_252588.png,4,2,18,1,"[14, 5, 15, 0, 2, 3]"
GRB061222B,GRB061222B_252593.png,13,8,13,6,"[12, 3, 19, 0, 1, 7]"
GRB070103,GRB070103_254532.png,1,2,11,1,"[9, 3, 8, 0, 0, 1]"
GRB070107,GRB070107_255029.png,12,24,7,4,"[8, 28, 9, 0, 2, 7]"
GRB070110,GRB070110_255445.png,4,25,8,6,"[2, 29, 22, 0, 1, 8]"
GRB070129,GRB070129_258408.png,3,2,15,19,"[8, 3, 8, 0, 3, 24]"
GRB070208,GRB070208_259714.png,4,10,28,6,"[25, 7, 16, 0, 3, 11]"
GRB070209,GRB070209_259803.png,2,2,16,22,"[7, 1, 6, 0, 6, 29]"
GRB070219,GRB070219_261132.png,17,20,5,3,"[6, 25, 15, 0, 1, 6]"
GRB070220,GRB070220_261299.png,20,25,3,4,"[9, 32, 12, 0, 0, 4]"
GRB070223,GRB070223_261664.png,2,23,18,11,"[6, 25, 27, 0, 4, 16]"
GRB070224,GRB070224_261880.png,9,16,9,16,"[6, 19, 11, 0, 2, 18]"
GRB070227,None,31,3,10,4,"[23, 6, 5, 0, 13, 17]"
GRB070306,GRB070306_263361.png,14,10,20,5,"[21, 13, 19, 0, 1, 8]"
GRB070318,GRB070318_271019.png,21,29,1,3,"[2, 46, 8, 0, 2, 5]"
GRB070328,GRB070328_272773.png,16,20,8,2,"[14, 26, 11, 0, 1, 3]"
GRB070330,GRB070330_273180.png,26,5,13,2,"[24, 8, 12, 0, 3, 5]"
GRB070411,GRB070411_275087.png,0,1,10,3,"[7, 5, 7, 0, 1, 4]"
GRB070412,GRB070412_275119.png,5,5,15,3,"[7, 10, 12, 0, 0, 3]"
GRB070419A,GRB070419A_276205.png,4,1,4,13,"[3, 3, 2, 0, 3, 17]"
GRB070419B,GRB070419B_276212.png,1,15,5,1,"[0, 13, 11, 0, 0, 1]"
GRB070420,GRB070420_276321.png,25,15,5,5,"[26, 10, 17, 0, 2, 7]"
GRB070427,GRB070427_277356.png,24,4,13,2,"[27, 3, 11, 0, 3, 5]"
GRB070429A,GRB070429A_277571.png,5,18,3,19,"[2, 19, 4, 0, 1, 21]"
GRB070429B,GRB070429B_277582.png,11,0,0,0,"[11, 1, 0, 0, 0, 0]"
GRB070506,GRB070506_278693.png,12,1,0,0,"[11, 2, 0, 0, 0, 0]"
GRB070508,GRB070508_278854.png,21,4,26,2,"[32, 6, 21, 0, 4, 6]"
GRB070509,GRB070509_278903.png,11,1,0,0,"[2, 7, 2, 0, 1, 1]"
GRB070517,GRB070517_279494.png,21,15,10,3,"[18, 20, 13, 0, 2, 5]"
GRB070518,GRB070518_279592.png,11,2,1,2,"[7, 7, 1, 0, 1, 3]"
GRB070520A,GRB070520A_279817.png,6,5,12,22,"[10, 3, 11, 0, 6, 29]"
GRB070520B,GRB070520B_279898.png,10,18,13,13,"[4, 23, 16, 0, 5, 22]"
GRB070521,GRB070521_279935.png,0,1,11,0,"[4, 2, 9, 0, 1, 1]"
GRB070529,GRB070529_280706.png,2,18,11,12,"[5, 11, 17, 0, 3, 17]"
GRB070531,GRB070531_280958.png,9,22,8,2,"[1, 32, 13, 0, 1, 3]"
GRB070611,GRB070611_282003.png,21,5,13,5,"[15, 5, 8, 0, 10, 15]"
GRB070612A,GRB070612A_282066.png,2,13,15,10,"[5, 20, 15, 0, 2, 15]"
GRB070612B,GRB070612B_282073.png,16,1,5,2,"[13, 1, 9, 0, 0, 2]"
GRB070616,GRB070616_282445.png,6,17,17,10,"[11, 13, 24, 0, 0, 11]"
GRB070621,GRB070621_282808.png,4,2,14,1,"[4, 5, 15, 0, 0, 1]"
GRB070628,GRB070628_283320.png,18,4,18,1,"[19, 12, 15, 0, 3, 4]"
GRB070704,GRB070704_283791.png,5,18,12,6,"[10, 27, 14, 0, 1, 7]"
GRB070714A,GRB070714A_284850.png,12,0,0,0,"[11, 1, 0, 0, 0, 0]"
GRB070714B,GRB070714B_284856.png,19,25,1,1,"[26, 8, 10, 0, 4, 5]"
GRB070721A,GRB070721A_285653.png,11,1,0,0,"[8, 4, 0, 0, 0, 0]"
